1,Security Classification,Official,,,,,,,
2,Distribution,General,,,,,,,
3,"Report / Document
version",(a) Issue no. 01,(b) Revision & Date,,,,,27.02.2023,
4,Report / Document Type,Technicalreport,,,,,,,
5,"Document Control
Number",NRSC-RSA-GSG-GMED-FEB 2023-TR-0002167-V1.0,,,,,,,
6,Title,"Landslide atlas of India (Mapping, Monitoring and R&D studies using Remote Sensing
data)",,,,,,,
7,Particulars of collation,"Pages
76",,"Figures
55",,"Tables
04",,,"References
16"
8,Author(s),"Nirmala Jain, PriyomRoy ,Tapas Ranjan Martha, Punit Jalan and Aishwarya Nanda",,,,,,,
9,Affiliation of authors,"Geohazards and Mineral ExplorationDivision, Geosciences Group, RSAA, NRSC/ISRO",,,,,,,
10,Scrutiny mechanism,"Compiled by
Nirmala Jain S/E 'SE'
PriyomRoy S/E 'SE'",,,"Reviewed by
Dr. I. C. Das
Group Head, GSG",,"Approved and Controlled
Dr. K Vinod Kumar
Deputy Director (RSAA)",,
11,Originating unit,"National Remote Sensing Centre, Hyderabad-500037",,,,,,,
12,"Sponsor(s)/ Name and
Address",Indian SpaceResearch Organisation,,,,,,,
13,Date of Initiation,01November 2022,,,,,,,
14,Date of Publication,27 February2023,,,,,,,
15,"Abstract: This Atlas provides the details of landslide present in Landslide provinces of India including damage
assessment of specific landslide locations. Geospatial landslide inventory database consisting of ~80,000
landslides in India mapped by NRSC/ISRO under its DMS programme during the 1998-2022 period is reported
here. The database covers landslide vulnerable regions in 17 states and 02 UTs of India in the Himalayas and
Western Ghats. The database includes three types of landslide inventory – seasonal, event-based and route-wise
for the 1998-2022 period. Seasonal inventory contains pan-India landslide database corresponding to the 2014
and 2017rainyseasoninIndia.Event-basedinventorycontainsdetails ofsome ofthe majortriggeringevents such
as Kedarnath and Kerala disasters, and Sikkim earthquake as well as few large valley blocking landslides. Route-
wise inventory contains details of landslides along selected routes of tourist and pilgrimage importance. Satellite
data of high to very high resolution such as IRS-1D PAN+LISS-III, Resourcesat-1, 2 and 2A LISS-IV Mx, Cartosat-1
and 2S, data from International satellites (Sentinel-1&2, Pleiades and WorldView) and Aerial images were used in
the mapping of landslides. Some of the mapped landslides were validated in the field using mobile App and news
reports. The database were used to rank 147 districts in 17 states and 02 UTs of India for their exposure to
landslides in terms of key socio-economic parameters. Lastly advanced techniques in landslide detection,
modelingandpredictionarealsoexplained.
Keywords:Landslides,RemoteSensing,LandslideProvincesinIndia,LandslideInventory",,,,,,,,
