Abbreviated Classification of Slope Movements,,,,
Type of movement,,TYPE OF MATERIAL,,
,,Bed Rock,Engineering Soils,
,,,Predominantly Course,Predominantly Fine
Fall,,Rock Fall,Debris Fall,Earth Fall
Topple,,Rock Topple,Debris Topple,Earth Topple
Slide,Rotational (Slump),,Rotational Debris Slide,Rotational Earth Slide
,Translational,Translational Rock Slide,Translational Debris Slide,TranslationalEarth Slide
Lateral Spread,,Rock Spread,Debris Spread,Earth Spread
Flow,,Rock Flow (Deep creep),Debris Flow (Soil Creep),Earth Flow (Soil Creep)
Complex,Combination of two or more principal types of movement,,,
