Sl. No.,State/UTs,"Monsoon season
2014",Monsoon season2017,Field-based/year,Event-based / year,Total
1,Jammu and Kashmir,6826,19,434 / 2011,1 / 2015,7280
2,Ladakh,23,,-,-,23
3,Himachal Pradesh,922,172,413 / 1998,"1/ 2017
51/2013
2/2021",1561
4,Uttarakhand,1593,455,1419 / 1998,"32/2003
307/2010
473 / 2012
6610 / 2013
1 / 2017
329/2021
1/2022",11219
5,Sikkim,73,79,-,"1408 / 2011
8 / 2012
1/ 2016",1569
6,West Bengal,24,82,-,66 / 2011,172
7,Arunachal Pradesh,2904,4709,-,"75 / 2016
1/2021",7689
8,Nagaland,54,2071,-,7/2017,2132
9,Manipur,379,4559,-,"556/2017
1/2022",5494
10,Mizoram,1205,2254,-,8926/2017,12385
11,Tripura,56,8014,-,-,8070
12,Assam,1243,793,-,"533/2017
5091/2022",2569
13,Meghalaya,2127,512,-,-,2639
14,Maharashtra,97,3,-,5012/2021,5112
15,Goa,2,1,-,-,3
16,Karnataka,82,19,-,993/2018,1094
17,Kerala,9,45,-,"5191/2018
756/2019
09/2020
29/2021",6039
18,Tamil Nadu,79,8,-,603/2018,690
19,Haryana,-,100,-,-,100
Total,,"17,698","23,895","2,266","37,074",80933
