"District
Rank",District,State
36,Coimbatore,Tamil Nadu
37,Solan,Himachal Pradesh
38,Aizawl,Mizoram
39,Lunglei,Mizoram
40,Kamrup,Assam
41,Dindigul,Tamil Nadu
42,Kathua,J&K
43,Kanniyakumari,Tamil Nadu
44,Kasaragod,Kerala
45,Lawngtlai,Mizoram
46,Kinnaur,Himachal Pradesh
47,Hailakandi,Assam
48,Kollam,Kerala
49,Goalpara,Assam
50,Bageshwar,Uttaranchal
51,North District,Sikkim
52,Anantanag,J&K
53,Hassan,Karnataka
54,Dakshina Kannada,Karnataka
55,Karbi Anglong,Assam
56,Lohit,Arunachal Pradesh
57,Kullu,Himachal Pradesh
58,Baramulla,J&K
59,Theni,Tamil Nadu
60,Kolasib,Mizoram
61,Shimla,Himachal Pradesh
62,Kangra,Himachal Pradesh
63,Churachandpur,Manipur
64,East Garo Hills,Meghalaya
65,Champawat,Uttaranchal
66,West Khasi Hills,Meghalaya
67,Ribhoi,Meghalaya
68,Naini Tal,Uttaranchal
69,Jaintia Hills,Meghalaya
70,Una,Himachal Pradesh
